epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1430,0.41098,0.22089,0.00278,1,0.9919,0.995,0.96528,0.30819,0.13392,0.00402,0.001076,0.001076,0.001076
72,1449.19,0.41414,0.22085,0.0028,1,0.99965,0.995,0.97205,0.25927,0.10636,0.0032,0.0010628,0.0010628,0.0010628
73,1469.54,0.38729,0.2018,0.00264,0.94763,1,0.9921,0.96541,0.26279,0.13337,0.00328,0.0010496,0.0010496,0.0010496
74,1488.7,0.39223,0.22396,0.00272,0.98329,0.99719,0.9945,0.94799,0.34495,0.1412,0.00462,0.0010364,0.0010364,0.0010364
75,1509.41,0.42657,0.22569,0.00308,0.9576,0.98305,0.99257,0.95537,0.30931,0.15444,0.00408,0.0010232,0.0010232,0.0010232
76,1528.58,0.3953,0.2273,0.00276,0.97945,1,0.9945,0.96247,0.31551,0.13147,0.00396,0.00101,0.00101,0.00101
77,1548.91,0.40997,0.22201,0.00301,0.98006,1,0.99367,0.95891,0.28347,0.11825,0.00374,0.0009968,0.0009968,0.0009968
78,1568.3,0.39005,0.22678,0.00279,1,0.97815,0.99452,0.96849,0.28493,0.14121,0.00336,0.0009836,0.0009836,0.0009836
79,1588.52,0.38912,0.20389,0.00254,0.96653,0.97891,0.9918,0.9758,0.24674,0.16356,0.00315,0.0009704,0.0009704,0.0009704
80,1607.76,0.39527,0.20431,0.00265,0.98275,0.96547,0.99289,0.96535,0.27004,0.15104,0.00352,0.0009572,0.0009572,0.0009572
81,1628.25,0.39796,0.21514,0.0027,0.98468,0.9661,0.99418,0.97133,0.25395,0.11503,0.00336,0.000944,0.000944,0.000944
82,1647.53,0.37764,0.19934,0.00262,0.99337,0.9661,0.99269,0.9661,0.25936,0.14009,0.00314,0.0009308,0.0009308,0.0009308
83,1667.89,0.38944,0.2022,0.00264,1,0.96374,0.99355,0.94828,0.30771,0.15835,0.00433,0.0009176,0.0009176,0.0009176
84,1687.1,0.38905,0.19796,0.00268,0.9816,1,0.99417,0.96815,0.26909,0.1154,0.00346,0.0009044,0.0009044,0.0009044
85,1707.76,0.38797,0.21248,0.00271,0.93644,0.99885,0.99205,0.96704,0.27956,0.1601,0.00385,0.0008912,0.0008912,0.0008912
86,1727.14,0.36664,0.20049,0.00248,1,0.98245,0.99228,0.96384,0.25659,0.17081,0.00349,0.000878,0.000878,0.000878
87,1747.6,0.37705,0.20832,0.00264,1,0.97639,0.99467,0.98068,0.25183,0.11752,0.00318,0.0008648,0.0008648,0.0008648
88,1766.68,0.36784,0.19973,0.00261,0.9825,1,0.9945,0.97232,0.25059,0.10183,0.00316,0.0008516,0.0008516,0.0008516
89,1787.01,0.36252,0.19365,0.00241,1,0.96016,0.99402,0.97117,0.26888,0.1307,0.00341,0.0008384,0.0008384,0.0008384
90,1806.38,0.36653,0.1989,0.0025,0.96653,0.979,0.98877,0.94242,0.3139,0.18264,0.00366,0.0008252,0.0008252,0.0008252
91,1826.68,0.3553,0.18518,0.00236,0.98326,0.99574,0.99417,0.96403,0.31779,0.14297,0.00403,0.000812,0.000812,0.000812
92,1846.15,0.34495,0.17992,0.00234,0.98188,0.98305,0.99437,0.97447,0.23733,0.13868,0.00293,0.0007988,0.0007988,0.0007988
93,1866.43,0.34921,0.19522,0.00232,1,0.96526,0.99374,0.9808,0.20847,0.13118,0.00262,0.0007856,0.0007856,0.0007856
94,1885.5,0.3543,0.18411,0.00241,0.99748,1,0.995,0.98104,0.23259,0.08942,0.00304,0.0007724,0.0007724,0.0007724
95,1905.92,0.35426,0.1883,0.00249,0.99848,0.98305,0.99483,0.96627,0.27299,0.10649,0.00386,0.0007592,0.0007592,0.0007592
96,1925.38,0.34883,0.18059,0.00238,0.96582,1,0.99433,0.97037,0.26867,0.12282,0.00352,0.000746,0.000746,0.000746
97,1945.65,0.35558,0.18918,0.00242,1,0.9985,0.995,0.972,0.23972,0.09361,0.00295,0.0007328,0.0007328,0.0007328
98,1964.99,0.3529,0.18712,0.00244,0.95831,0.98305,0.99303,0.97628,0.24046,0.1427,0.00306,0.0007196,0.0007196,0.0007196
99,1985.32,0.34984,0.19329,0.0024,0.98332,0.99906,0.99483,0.98121,0.22494,0.09262,0.00281,0.0007064,0.0007064,0.0007064
100,2004.54,0.34893,0.19536,0.00235,0.99605,0.9661,0.99385,0.96926,0.24127,0.12643,0.00313,0.0006932,0.0006932,0.0006932
101,2025,0.33633,0.17512,0.00223,0.99777,1,0.995,0.97555,0.22101,0.08075,0.00263,0.00068,0.00068,0.00068
102,2044.46,0.35554,0.19497,0.00253,0.99251,1,0.995,0.95816,0.29163,0.12077,0.00349,0.0006668,0.0006668,0.0006668
103,2064.41,0.33739,0.17661,0.00225,0.96361,1,0.99402,0.97984,0.21882,0.1166,0.00255,0.0006536,0.0006536,0.0006536
104,2083.73,0.33231,0.18573,0.00222,1,0.99927,0.995,0.97584,0.22908,0.09368,0.00287,0.0006404,0.0006404,0.0006404
105,2104.53,0.32506,0.16661,0.00228,0.97959,1,0.99417,0.97685,0.2557,0.12443,0.00338,0.0006272,0.0006272,0.0006272
106,2124,0.33498,0.17394,0.0023,0.9562,1,0.99336,0.96322,0.27123,0.1323,0.00309,0.000614,0.000614,0.000614
107,2143.97,0.35236,0.17822,0.00237,0.93493,1,0.9903,0.94698,0.28509,0.18248,0.00339,0.0006008,0.0006008,0.0006008
108,2163.27,0.30989,0.16703,0.00224,1,0.9791,0.99422,0.97928,0.20716,0.1278,0.00238,0.0005876,0.0005876,0.0005876
109,2183.26,0.33952,0.17516,0.00228,0.98226,0.9661,0.99385,0.97577,0.22258,0.12824,0.00267,0.0005744,0.0005744,0.0005744
110,2202.36,0.32194,0.17516,0.00225,0.9832,0.99194,0.9945,0.97891,0.20648,0.10691,0.00249,0.0005612,0.0005612,0.0005612
111,2222.8,0.32291,0.17105,0.00219,0.99442,1,0.995,0.97367,0.21771,0.09489,0.00258,0.000548,0.000548,0.000548
112,2242.53,0.33669,0.17464,0.00222,1,0.98205,0.99467,0.97486,0.2145,0.10222,0.0026,0.0005348,0.0005348,0.0005348
113,2262.67,0.33524,0.18531,0.00234,0.97152,1,0.9945,0.96822,0.24084,0.12613,0.00275,0.0005216,0.0005216,0.0005216
114,2282.73,0.31957,0.17439,0.00208,1,0.9965,0.995,0.97906,0.23509,0.09816,0.00282,0.0005084,0.0005084,0.0005084
115,2302.64,0.31997,0.16658,0.00212,0.995,1,0.995,0.9814,0.20426,0.09102,0.00242,0.0004952,0.0004952,0.0004952
116,2323.28,0.31888,0.17302,0.00219,0.98184,1,0.99483,0.98239,0.20681,0.0839,0.00241,0.000482,0.000482,0.000482
117,2342.98,0.32657,0.17629,0.00217,0.99921,1,0.995,0.98366,0.22049,0.07591,0.00268,0.0004688,0.0004688,0.0004688
118,2363.64,0.3051,0.16152,0.002,1,0.97667,0.99467,0.98066,0.23178,0.09627,0.00272,0.0004556,0.0004556,0.0004556
119,2382.72,0.3009,0.15845,0.00198,0.99649,1,0.995,0.98374,0.1954,0.08368,0.00235,0.0004424,0.0004424,0.0004424
120,2403.41,0.3077,0.16261,0.00214,0.99686,0.98305,0.99467,0.97601,0.21048,0.0979,0.00263,0.0004292,0.0004292,0.0004292
121,2422.67,0.30565,0.15735,0.00202,0.99681,0.98305,0.99483,0.98102,0.21428,0.10772,0.0025,0.000416,0.000416,0.000416
122,2443.07,0.31089,0.16119,0.00206,1,0.98011,0.99467,0.9799,0.19082,0.09828,0.00223,0.0004028,0.0004028,0.0004028
123,2462.47,0.29624,0.15068,0.00195,0.99726,1,0.995,0.9835,0.20076,0.08864,0.00242,0.0003896,0.0003896,0.0003896
124,2482.83,0.29595,0.17407,0.00192,1,0.99285,0.995,0.98498,0.18758,0.07807,0.00219,0.0003764,0.0003764,0.0003764
125,2502.02,0.29284,0.15087,0.00191,1,0.99766,0.995,0.98118,0.19032,0.0828,0.00226,0.0003632,0.0003632,0.0003632
126,2522.55,0.29785,0.15974,0.00197,1,0.99881,0.995,0.98343,0.19614,0.0805,0.00231,0.00035,0.00035,0.00035
127,2541.84,0.29123,0.16159,0.002,0.99677,1,0.995,0.98192,0.20667,0.08616,0.00241,0.0003368,0.0003368,0.0003368
128,2562.08,0.30708,0.17637,0.00201,0.9999,1,0.995,0.98379,0.19554,0.0815,0.00231,0.0003236,0.0003236,0.0003236
129,2581.33,0.30135,0.15878,0.00205,0.98309,0.98523,0.99483,0.9778,0.21677,0.09799,0.00256,0.0003104,0.0003104,0.0003104
130,2601.94,0.29384,0.16251,0.00192,0.99897,1,0.995,0.97888,0.24308,0.07684,0.00289,0.0002972,0.0002972,0.0002972
131,2621.47,0.29831,0.16579,0.00206,1,0.99799,0.995,0.98003,0.21178,0.08179,0.00242,0.000284,0.000284,0.000284
132,2642.71,0.29619,0.15688,0.00197,1,0.99883,0.995,0.98133,0.21256,0.08114,0.00237,0.0002708,0.0002708,0.0002708
133,2662.48,0.28843,0.15392,0.00188,1,0.99949,0.995,0.98171,0.19703,0.07565,0.00227,0.0002576,0.0002576,0.0002576
134,2683.32,0.28909,0.15191,0.0019,1,0.99643,0.995,0.98855,0.19219,0.07719,0.00221,0.0002444,0.0002444,0.0002444
135,2702.88,0.28589,0.15488,0.00184,0.98201,1,0.9945,0.98814,0.19181,0.08644,0.00222,0.0002312,0.0002312,0.0002312
136,2723.67,0.2785,0.15598,0.00182,0.99765,1,0.995,0.98562,0.20593,0.08439,0.00253,0.000218,0.000218,0.000218
137,2742.77,0.2793,0.14157,0.00181,0.99935,1,0.995,0.97811,0.20823,0.08033,0.00248,0.0002048,0.0002048,0.0002048
138,2763.16,0.27262,0.15442,0.00177,1,0.98129,0.99483,0.98097,0.18982,0.08927,0.00227,0.0001916,0.0001916,0.0001916
139,2782.47,0.28004,0.1586,0.00185,1,0.99595,0.995,0.98077,0.19107,0.07948,0.00218,0.0001784,0.0001784,0.0001784
140,2802.51,0.28339,0.15502,0.00187,0.95155,0.99866,0.99249,0.98464,0.18987,0.1236,0.00213,0.0001652,0.0001652,0.0001652
141,2825.34,0.20929,0.10997,0.00158,1,0.94595,0.9921,0.97813,0.21314,0.12062,0.00249,0.000152,0.000152,0.000152
142,2844.19,0.19933,0.1037,0.00152,0.99994,0.98305,0.99483,0.97766,0.21706,0.09814,0.00253,0.0001388,0.0001388,0.0001388
143,2864.02,0.19356,0.09555,0.00144,0.99842,0.98305,0.99467,0.98244,0.20773,0.08595,0.00238,0.0001256,0.0001256,0.0001256
144,2882.69,0.19815,0.10228,0.0016,1,0.99962,0.995,0.97798,0.22897,0.08229,0.0027,0.0001124,0.0001124,0.0001124
145,2902.65,0.19742,0.09666,0.00152,1,0.99763,0.995,0.98394,0.19882,0.07793,0.00225,9.92e-05,9.92e-05,9.92e-05
146,2921.43,0.19082,0.09311,0.00146,0.99965,1,0.995,0.98536,0.19266,0.07238,0.00226,8.6e-05,8.6e-05,8.6e-05
147,2940.72,0.18741,0.10301,0.00143,0.99822,1,0.995,0.98094,0.21397,0.0724,0.00243,7.28e-05,7.28e-05,7.28e-05
148,2960.23,0.19174,0.10525,0.00143,0.99811,1,0.995,0.98537,0.19973,0.07062,0.00227,5.96e-05,5.96e-05,5.96e-05
149,2978.88,0.18426,0.09497,0.00141,0.99902,1,0.995,0.98389,0.19835,0.06715,0.00225,4.64e-05,4.64e-05,4.64e-05
150,2998.88,0.18377,0.08945,0.00138,0.99864,1,0.995,0.98773,0.17606,0.06366,0.00199,3.32e-05,3.32e-05,3.32e-05
